order_id,quantity,order_date,unit_price,pizza_name
1,1,2015-01-01,13.25,The Hawaiian Pizza
2,1,2015-01-01,16.0,The Classic Deluxe Pizza
2,1,2015-01-01,18.5,The Five Cheese Pizza
2,1,2015-01-01,16.0,The Mexicana Pizza
6,1,2015-01-01,12.75,The Barbecue Chicken Pizza
9,1,2015-01-01,12.0,The Classic Deluxe Pizza
9,1,2015-01-01,12.0,The Mexicana Pizza
10,1,2015-01-01,20.25,The Mexicana Pizza
11,1,2015-01-01,20.75,The Barbecue Chicken Pizza
11,1,2015-01-01,20.75,The California Chicken Pizza
11,1,2015-01-01,16.75,The California Chicken Pizza
12,1,2015-01-01,20.75,The California Chicken Pizza
12,1,2015-01-01,12.75,The California Chicken Pizza
13,1,2015-01-01,20.25,The Mexicana Pizza
15,1,2015-01-01,12.0,The Big Meat Pizza
15,1,2015-01-01,18.5,The Five Cheese Pizza
15,1,2015-01-01,20.75,The Soppressata Pizza
17,1,2015-01-01,20.75,The Barbecue Chicken Pizza
17,1,2015-01-01,18.5,The Five Cheese Pizza
17,1,2015-01-01,12.75,The Italian Vegetables Pizza
17,1,2015-01-01,20.25,The Mexicana Pizza
20,1,2015-01-01,12.0,The Big Meat Pizza
20,1,2015-01-01,18.5,The Five Cheese Pizza
22,1,2015-01-01,18.5,The Five Cheese Pizza
24,1,2015-01-01,16.75,The Barbecue Chicken Pizza
26,1,2015-01-01,12.0,The Classic Deluxe Pizza
27,1,2015-01-01,20.75,The Barbecue Chicken Pizza
27,1,2015-01-01,16.0,The Classic Deluxe Pizza
31,1,2015-01-01,16.0,The Mexicana Pizza
32,1,2015-01-01,12.0,The Big Meat Pizza
33,1,2015-01-01,20.75,The Barbecue Chicken Pizza
36,1,2015-01-01,16.75,The Barbecue Chicken Pizza
36,1,2015-01-01,16.0,The Classic Deluxe Pizza
37,1,2015-01-01,20.25,The Mexicana Pizza
38,1,2015-01-01,10.5,The Hawaiian Pizza
42,1,2015-01-01,12.0,The Big Meat Pizza
42,1,2015-01-01,18.5,The Five Cheese Pizza
42,1,2015-01-01,20.25,The Mexicana Pizza
45,1,2015-01-01,10.5,The Hawaiian Pizza
46,1,2015-01-01,20.5,The Classic Deluxe Pizza
51,1,2015-01-01,20.75,The Barbecue Chicken Pizza
52,1,2015-01-01,16.5,The Hawaiian Pizza
52,1,2015-01-01,20.25,The Mexicana Pizza
56,1,2015-01-01,16.0,The Classic Deluxe Pizza
57,1,2015-01-01,16.0,The Classic Deluxe Pizza
58,1,2015-01-01,18.5,The Five Cheese Pizza
59,1,2015-01-01,12.75,The Italian Vegetables Pizza
61,1,2015-01-01,16.75,The Barbecue Chicken Pizza
62,1,2015-01-01,16.75,The Barbecue Chicken Pizza
64,1,2015-01-01,12.0,The Big Meat Pizza
66,1,2015-01-01,16.0,The Classic Deluxe Pizza
68,1,2015-01-01,16.0,The Classic Deluxe Pizza
69,1,2015-01-01,20.75,The Barbecue Chicken Pizza
70,1,2015-01-02,12.75,The Italian Vegetables Pizza
70,1,2015-01-02,20.75,The Soppressata Pizza
74,1,2015-01-02,18.5,The Five Cheese Pizza
74,1,2015-01-02,20.25,The Mexicana Pizza
76,1,2015-01-02,12.0,The Big Meat Pizza
76,1,2015-01-02,16.5,The Hawaiian Pizza
76,1,2015-01-02,21.0,The Italian Vegetables Pizza
77,1,2015-01-02,16.75,The Barbecue Chicken Pizza
77,1,2015-01-02,13.25,The Hawaiian Pizza
78,1,2015-01-02,12.0,The Big Meat Pizza
78,1,2015-01-02,12.0,The Classic Deluxe Pizza
82,1,2015-01-02,12.0,The Big Meat Pizza
82,1,2015-01-02,16.75,The California Chicken Pizza
85,1,2015-01-02,16.0,The Classic Deluxe Pizza
85,1,2015-01-02,12.0,The Classic Deluxe Pizza
86,1,2015-01-02,16.5,The Hawaiian Pizza
87,1,2015-01-02,16.0,The Mexicana Pizza
88,1,2015-01-02,18.5,The Five Cheese Pizza
89,1,2015-01-02,20.75,The Soppressata Pizza
91,2,2015-01-02,20.75,The Barbecue Chicken Pizza
92,1,2015-01-02,16.75,The Barbecue Chicken Pizza
92,1,2015-01-02,12.75,The Italian Vegetables Pizza
97,1,2015-01-02,12.0,The Big Meat Pizza
98,1,2015-01-02,20.5,The Classic Deluxe Pizza
100,1,2015-01-02,16.5,The Hawaiian Pizza
101,1,2015-01-02,20.75,The California Chicken Pizza
101,1,2015-01-02,20.75,The Soppressata Pizza
102,1,2015-01-02,12.75,The Barbecue Chicken Pizza
104,1,2015-01-02,16.75,The Barbecue Chicken Pizza
104,1,2015-01-02,16.75,The Italian Vegetables Pizza
105,2,2015-01-02,10.5,The Hawaiian Pizza
106,1,2015-01-02,20.25,The Mexicana Pizza
107,1,2015-01-02,20.75,The California Chicken Pizza
108,1,2015-01-02,20.5,The Classic Deluxe Pizza
108,1,2015-01-02,16.5,The Hawaiian Pizza
110,1,2015-01-02,12.0,The Big Meat Pizza
110,1,2015-01-02,20.75,The Soppressata Pizza
111,1,2015-01-02,16.75,The California Chicken Pizza
111,1,2015-01-02,18.5,The Five Cheese Pizza
113,1,2015-01-02,20.75,The California Chicken Pizza
113,1,2015-01-02,20.25,The Mexicana Pizza
115,1,2015-01-02,12.0,The Big Meat Pizza
116,1,2015-01-02,18.5,The Five Cheese Pizza
120,1,2015-01-02,12.0,The Classic Deluxe Pizza
120,1,2015-01-02,10.5,The Hawaiian Pizza
121,1,2015-01-02,16.75,The Barbecue Chicken Pizza
124,1,2015-01-02,12.75,The Barbecue Chicken Pizza
129,1,2015-01-02,12.0,The Big Meat Pizza
130,1,2015-01-02,10.5,The Hawaiian Pizza
130,1,2015-01-02,16.0,The Mexicana Pizza
131,1,2015-01-02,18.5,The Five Cheese Pizza
133,1,2015-01-02,20.75,The Barbecue Chicken Pizza
133,1,2015-01-02,16.5,The Hawaiian Pizza
134,1,2015-01-02,12.0,The Big Meat Pizza
136,1,2015-01-02,18.5,The Five Cheese Pizza
138,1,2015-01-03,16.75,The California Chicken Pizza
138,1,2015-01-03,21.0,The Italian Vegetables Pizza
139,1,2015-01-03,18.5,The Five Cheese Pizza
141,1,2015-01-03,16.0,The Classic Deluxe Pizza
143,1,2015-01-03,12.75,The California Chicken Pizza
143,1,2015-01-03,12.0,The Classic Deluxe Pizza
143,1,2015-01-03,16.5,The Hawaiian Pizza
143,1,2015-01-03,16.0,The Mexicana Pizza
144,3,2015-01-03,16.75,The Barbecue Chicken Pizza
